id,education,marital_status,income,age,kidhome,teenhome,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,complain,response,revenue,customer_since_in_days
9145,Graduation,Single,72504.0,49,0,1,43,604,26,470,123,161,94,2,5,9,6,2,0,0,0.0,3142
3406,Graduation,Single,45989.0,57,0,1,97,138,33,87,28,24,12,4,3,2,7,3,0,0,0.0,3308
6918,Graduation,Married,28691.0,32,1,0,56,5,4,13,8,0,4,1,1,0,3,8,0,0,0.0,3053
2980,Master,Single,8820.0,69,1,1,52,12,0,13,4,2,4,4,3,0,3,8,0,0,0.0,3157
8439,Graduation,Together,63404.0,57,0,2,97,734,26,70,11,44,17,2,6,3,4,4,0,0,0.0,2716
8461,Graduation,Divorced,46102.0,59,2,1,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0.0,2804
6918,Graduation,Married,28691.0,32,1,0,56,5,4,13,8,0,4,1,1,0,3,8,0,0,0.0,3053
3276,2n Cycle,Together,36301.0,45,1,0,53,11,12,35,3,5,12,1,3,0,3,7,0,0,0.0,2940
2929,Graduation,Single,20180.0,45,0,0,27,18,42,24,15,20,18,1,2,1,4,7,0,0,0.0,3187
6312,Graduation,Married,65031.0,62,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0.0,3162
10311,Graduation,Married,4428.0,52,0,1,0,16,4,12,2,4,321,0,25,0,0,1,0,0,0.0,2960
6177,PhD,Married,33454.0,36,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0.0,3110
2995,Master,Together,66636.0,64,0,0,64,291,10,689,84,10,0,1,3,4,9,1,0,0,0.0,3009
9635,Master,Married,35876.0,38,0,0,13,66,2,40,4,3,14,1,3,1,3,6,0,0,0.0,2763
10770,Graduation,Married,65492.0,62,0,0,73,247,161,295,210,85,47,2,4,7,13,2,0,0,0.0,2847
6518,PhD,Widow,67680.0,70,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0.0,3076
4120,2n Cycle,Single,49514.0,46,1,0,61,88,39,78,58,13,93,2,6,1,4,7,0,0,0.0,2887
2254,Graduation,Married,69520.0,38,0,0,95,627,120,414,121,80,93,1,9,6,5,5,0,0,0.0,3050
6999,Master,Married,69661.0,41,0,0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0.0,2740
10727,PhD,Married,69084.0,51,1,0,43,1181,107,199,39,30,30,2,7,3,13,8,0,0,0.0,2915
4877,Master,Married,38576.0,48,0,1,2,34,0,7,0,0,0,1,1,0,3,7,0,0,0.0,2810
3406,Graduation,Single,45989.0,57,0,1,97,138,33,87,28,24,12,4,3,2,7,3,0,0,0.0,3308
3560,Graduation,Together,83844.0,69,0,0,57,901,31,345,75,31,191,1,4,4,11,1,0,0,0.0,3106
1592,Graduation,Married,90765.0,51,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,0.0,2849
796,2n Cycle,Divorced,60161.0,56,0,1,17,584,44,212,46,8,177,3,11,4,8,8,0,0,0.0,3307
10602,Graduation,Married,39922.0,38,1,0,30,29,12,59,19,1,36,2,3,0,4,8,0,0,0.0,3193
9543,Graduation,Married,19986.0,36,1,0,74,3,6,5,0,2,6,1,0,0,3,7,0,0,0.0,2920
3388,Graduation,Divorced,70844.0,54,1,1,16,129,26,67,3,67,2,5,6,1,5,7,0,0,0.0,2935
10868,Graduation,Widow,70792.0,70,0,0,82,344,45,654,104,11,114,2,3,4,10,3,0,0,0.0,3201
8749,Graduation,Together,37235.0,37,1,0,68,20,2,9,4,6,20,1,1,1,2,4,0,0,0.0,2841
10686,PhD,Together,34230.0,56,1,1,72,15,0,4,0,0,2,1,1,0,2,7,0,0,0.0,3243
4832,Graduation,Married,27244.0,42,1,0,84,6,5,17,3,24,46,2,2,2,2,7,0,0,0.0,2807
2677,Graduation,Together,46097.0,65,0,1,11,72,24,68,65,4,8,5,3,1,6,4,0,0,0.0,3148
6116,2n Cycle,Married,48985.0,53,0,1,13,19,13,18,10,7,8,1,1,1,3,3,0,0,0.0,3052
1773,2n Cycle,Married,12393.0,43,0,0,38,5,6,15,11,7,13,1,2,0,3,9,0,0,0.0,3265
6534,Graduation,Together,47889.0,47,1,0,94,29,0,29,0,5,4,1,2,0,3,5,0,0,0.0,2869
10779,Graduation,Single,22148.0,38,0,0,16,15,5,14,0,4,11,1,1,0,3,7,0,0,0.0,2770
2278,2n Cycle,Single,33812.0,36,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0.0,3296
4702,Graduation,Single,61839.0,57,0,0,20,1000,155,379,224,17,120,1,4,8,4,8,0,0,0.0,3379
10757,PhD,Divorced,28420.0,54,1,0,36,4,2,5,2,0,0,1,1,0,2,6,0,0,0.0,2880
1453,PhD,Widow,57513.0,78,0,0,59,735,40,183,52,20,30,2,9,3,13,6,0,0,0.0,3051
4426,Graduation,Single,55801.0,46,1,1,35,367,4,51,6,4,95,6,7,2,6,7,0,0,0.0,2973
10742,PhD,Married,86580.0,38,0,0,72,532,21,127,26,20,20,0,4,2,5,1,0,0,0.0,3180
5577,Graduation,Together,43776.0,38,1,0,77,8,0,9,2,1,3,1,1,0,2,6,0,0,0.0,2750
2278,2n Cycle,Single,33812.0,36,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0.0,3296
5186,PhD,Married,58482.0,66,0,1,59,576,7,115,19,7,7,2,7,4,9,6,0,0,0.0,2802
1272,Master,Single,55250.0,56,0,1,49,664,58,83,32,0,66,4,7,5,10,5,0,0,0.0,3309
3722,Graduation,Single,44503.0,49,1,1,83,31,1,8,0,0,8,2,2,0,3,6,0,0,0.0,2767
10341,Graduation,Together,51315.0,73,0,0,45,68,28,39,16,30,41,1,2,2,5,2,0,0,0.0,2819
1970,Master,Together,34053.0,53,0,1,14,63,0,21,7,0,12,1,3,0,3,8,0,0,0.0,3350
7462,Graduation,Single,22507.0,67,0,0,67,68,0,226,51,157,68,3,10,2,4,9,0,0,0.0,3275
7922,PhD,Single,64950.0,70,0,1,29,819,0,72,12,0,63,2,11,2,10,7,0,0,0.0,3379
10590,PhD,Together,76542.0,65,0,0,91,794,73,573,0,29,14,1,4,8,10,2,0,0,0.0,3149
2245,Master,Married,43641.0,52,1,1,50,57,2,51,4,2,23,3,2,1,4,6,0,0,0.0,3126
2802,2n Cycle,Married,87000.0,29,0,0,61,196,25,607,67,17,49,1,4,6,7,2,0,0,0.0,3254
8375,PhD,Married,55954.0,53,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0.0,2811
4669,Basic,Married,24480.0,40,1,0,46,4,19,9,28,25,17,3,3,0,4,7,0,0,0.0,3196
4856,2n Cycle,Married,82347.0,64,0,0,38,556,54,845,202,133,63,1,7,7,10,3,0,0,0.0,3293
6682,Basic,Married,18978.0,48,1,0,41,2,8,1,4,7,15,1,1,0,3,8,0,0,0.0,3258
4927,Graduation,Together,16626.0,50,2,0,76,8,3,22,21,1,13,3,3,0,3,9,0,0,0.0,2858
1734,PhD,Together,40706.0,53,2,1,37,59,0,11,4,2,5,4,3,0,4,7,0,0,0.0,3221
2230,PhD,Married,23626.0,51,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0.0,2729
4697,Master,Divorced,35416.0,72,0,0,62,248,3,81,4,3,51,3,7,1,5,8,0,0,0.0,3074
10854,PhD,Married,38853.0,51,1,1,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0.0,2730
7369,Master,Married,36959.0,40,1,0,56,25,6,25,6,0,0,2,2,0,3,8,0,0,0.0,2963
9648,Graduation,Single,46904.0,54,1,1,20,153,4,56,0,9,31,4,5,1,4,8,0,0,0.0,3296
4297,Graduation,Together,23228.0,52,1,0,71,13,2,18,6,1,0,2,2,0,3,8,0,0,0.0,2847
143,Graduation,Single,61209.0,51,0,0,73,466,0,224,119,49,99,1,5,3,4,2,0,0,0.0,3001
3900,Graduation,Married,65685.0,49,0,1,54,642,14,49,0,7,57,1,9,2,9,5,0,0,0.0,2785
2139,Master,Married,7500.0,46,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0.0,2963
2686,Basic,Together,22390.0,52,0,0,49,0,1,4,15,1,5,1,1,0,2,7,0,0,0.0,2944
5294,Graduation,Single,18358.0,32,1,0,49,6,8,19,16,4,4,3,3,0,4,7,0,0,0.0,2914
1606,Graduation,Together,38590.0,50,1,0,65,3,1,8,4,3,3,1,1,0,2,8,0,0,0.0,3103
10304,Graduation,Married,18690.0,62,0,0,77,6,1,7,23,4,19,1,1,1,2,8,0,0,0.0,3241
2125,Graduation,Divorced,63033.0,62,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0.0,2919
1411,Graduation,Divorced,82623.0,69,0,0,58,204,34,204,172,153,173,1,2,9,4,1,0,0,0.0,2924
5123,Master,Married,27450.0,70,0,0,57,37,12,23,8,11,52,1,2,1,3,7,0,0,0.0,3133
4653,Graduation,Together,42011.0,43,1,0,46,131,0,16,2,1,39,4,3,1,4,8,0,0,0.0,3153
347,Graduation,Divorced,40780.0,45,0,1,30,229,27,71,13,3,34,4,7,1,5,9,0,0,0.0,3352
2937,PhD,Single,68352.0,47,0,1,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0.0,2998
2874,2n Cycle,Divorced,35388.0,33,1,0,20,6,4,7,4,3,8,1,1,0,3,7,0,0,0.0,3172
2549,PhD,Together,21840.0,38,1,0,80,17,0,9,0,0,1,1,1,0,3,9,0,0,0.0,3036
10313,Graduation,Married,48178.0,46,1,1,69,159,4,45,6,2,38,6,5,1,4,8,0,0,0.0,3302
1584,Graduation,Married,41443.0,44,1,0,79,171,7,171,25,19,89,6,8,1,5,8,0,0,0.0,2782
6049,Master,Together,73450.0,39,0,0,85,1142,51,415,90,69,37,1,7,8,11,3,0,0,0.0,2899
3076,Graduation,Together,66653.0,46,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0.0,3353
2878,PhD,Married,67472.0,74,0,1,93,162,31,127,8,17,69,2,4,2,7,3,0,0,0.0,2967
3202,PhD,Married,51563.0,34,0,0,60,1166,0,48,0,0,36,1,4,4,10,8,0,0,0.0,3329
1710,Graduation,Single,30168.0,43,1,0,51,154,20,66,0,12,27,7,6,1,4,9,0,0,0.0,3172
5125,Graduation,Married,79530.0,61,0,0,64,333,0,815,129,42,29,1,4,10,11,2,0,0,0.0,3101
9303,Graduation,Married,5305.0,45,0,1,12,12,4,7,1,3,5,0,1,0,0,13,0,0,0.0,3027
10505,Master,Together,73113.0,61,0,0,86,741,19,154,50,9,28,1,3,4,7,2,0,0,0.0,2878
8700,Basic,Single,14906.0,35,0,0,86,7,7,14,7,16,15,3,2,1,3,7,0,0,0.0,3247
9426,Master,Single,58308.0,57,0,1,77,691,0,69,10,0,130,4,2,6,3,8,0,0,0.0,3226
4093,Master,Together,53253.0,46,1,1,61,216,9,57,20,9,125,7,4,3,5,5,0,0,0.0,3196
1584,Graduation,Married,41443.0,44,1,0,79,171,7,171,25,19,89,6,8,1,5,8,0,0,0.0,2782
10260,Master,Together,45143.0,56,0,1,74,202,5,74,11,5,14,3,6,1,5,7,0,0,0.0,3000
3010,Master,Together,88420.0,32,0,0,87,957,153,612,99,95,153,1,4,7,8,1,0,0,0.0,2751
8727,Graduation,Divorced,63693.0,43,0,1,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0.0,2951
2877,Master,Together,46014.0,47,1,1,21,410,0,59,19,9,44,10,7,1,8,7,0,0,0.0,3217
7437,Graduation,Single,27938.0,33,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0.0,2755
5267,Graduation,Divorced,33986.0,51,1,0,43,16,2,18,2,1,5,1,1,0,3,7,0,0,0.0,3165
3270,2n Cycle,Together,17117.0,43,1,0,96,12,23,38,30,18,7,4,3,1,3,9,0,0,0.0,3221
6327,Graduation,Together,65777.0,54,0,0,87,565,32,435,28,32,54,1,2,8,6,1,0,0,0.0,2885
2589,Graduation,Divorced,26759.0,49,1,0,65,25,3,16,8,5,2,2,2,1,3,6,0,0,0.0,2835
2712,Graduation,Married,71866.0,65,0,1,85,184,178,178,103,39,33,1,6,3,10,3,0,0,0.0,2879
2681,2n Cycle,Married,65370.0,37,0,0,1,71,22,112,138,89,29,1,2,3,13,1,0,0,0.0,3025
7476,Master,Single,63972.0,57,0,1,93,928,63,254,0,12,12,4,5,4,10,4,0,0,0.0,3267
194,Graduation,Married,48006.0,56,1,1,55,23,0,11,3,2,2,1,1,0,3,6,0,0,0.0,2713
2544,Master,Divorced,57530.0,70,0,1,68,50,1,27,6,7,1,1,1,1,4,1,0,0,0.0,2953
5626,PhD,Single,61798.0,57,0,0,13,338,4,89,11,8,13,1,4,2,9,4,0,0,0.0,2911
2295,PhD,Married,62670.0,67,0,1,57,539,30,92,80,46,38,1,5,3,13,3,0,0,0.0,2840
286,Graduation,Single,44213.0,69,1,1,48,95,11,35,0,4,7,4,2,1,5,6,0,0,0.0,2905
2747,PhD,Married,67546.0,33,0,0,90,864,134,768,150,38,172,1,4,10,5,3,0,0,0.0,3360
10741,Master,Together,47352.0,70,0,1,70,172,12,112,8,0,15,4,6,1,5,7,0,0,0.0,3137
7530,PhD,Widow,56551.0,71,1,1,48,67,4,32,17,2,16,3,2,1,4,4,0,0,0.0,2746
3439,Graduation,Married,56721.0,49,1,1,64,157,6,39,6,13,75,5,4,1,5,6,0,0,0.0,3299
10641,Graduation,Single,7500.0,43,1,1,5,6,5,4,13,4,25,4,2,1,3,6,0,0,0.0,3242
361,Master,Married,43142.0,52,1,1,84,5,1,7,2,1,4,1,1,0,2,7,0,0,0.0,2824
2712,Graduation,Married,71866.0,65,0,1,85,184,178,178,103,39,33,1,6,3,10,3,0,0,0.0,2879
11056,Graduation,Married,72099.0,47,0,0,18,546,91,410,119,0,22,1,3,4,10,1,0,0,0.0,3303
737,PhD,Married,80360.0,72,0,0,56,1493,86,454,112,43,43,2,4,4,5,2,0,0,0.0,3176
3025,Graduation,Single,49967.0,63,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0.0,3049
7165,Graduation,Together,64474.0,49,0,1,59,381,35,172,56,86,93,2,8,2,10,5,0,0,0.0,2943
9977,Graduation,Divorced,78901.0,48,0,1,99,321,11,309,33,26,34,3,9,3,5,4,0,0,0.0,2978
9384,Graduation,Married,66373.0,43,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0.0,3075
9988,Master,Single,70379.0,45,0,1,84,553,25,142,65,67,8,3,6,3,13,4,0,0,0.0,3176
4201,Graduation,Single,57967.0,59,0,1,39,229,7,137,4,0,91,5,4,2,8,5,0,0,0.0,3176
3711,Master,Married,80184.0,77,0,0,19,1035,134,670,25,38,0,1,6,3,10,3,0,0,0.0,2813
10420,Master,Divorced,46390.0,66,0,1,56,95,14,64,2,9,38,1,4,2,3,7,0,0,0.0,2748
8373,Basic,Together,24594.0,42,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0.0,2894
2861,Graduation,Single,24072.0,38,1,0,79,9,1,6,3,0,4,1,1,0,2,8,0,0,0.0,3132
8925,Master,Married,70053.0,56,0,1,38,512,53,98,81,179,89,3,8,5,10,5,0,0,0.0,3054
3565,Master,Married,38452.0,66,1,1,62,56,0,14,0,0,2,3,3,0,3,7,0,0,0.0,2784
2461,Master,Single,51124.0,66,1,1,79,26,1,11,0,1,4,2,1,0,3,3,0,0,0.0,2886
4619,PhD,Single,113734.0,76,0,0,9,6,2,3,1,262,3,0,27,0,0,1,0,0,0.0,2725
8334,Master,Single,33316.0,50,1,1,34,79,1,31,4,4,12,3,2,1,4,6,0,0,0.0,2961
3628,Basic,Single,15038.0,34,1,0,93,4,8,11,19,12,26,2,2,1,2,9,0,0,0.0,3209
11091,Graduation,Together,34587.0,68,1,1,68,7,2,9,2,0,2,2,1,0,3,4,0,0,0.0,2737
7990,Graduation,Married,27469.0,74,0,0,2,9,1,2,3,2,0,1,0,0,3,6,0,0,0.0,3389
10704,Graduation,Single,54803.0,52,0,1,65,404,0,92,28,27,142,2,6,2,9,4,0,0,0.0,3370
4174,Master,Together,55249.0,65,0,1,81,97,1,19,2,0,11,1,2,1,4,3,0,0,0.0,2766
4370,Graduation,Together,43482.0,55,2,1,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0.0,2921
1077,Graduation,Together,56715.0,47,0,0,52,258,105,239,237,172,9,1,7,3,4,4,0,0,0.0,3264
10617,Master,Divorced,10979.0,32,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0.0,2731
3308,Graduation,Married,35704.0,69,1,1,54,30,9,12,2,11,30,3,2,0,4,4,0,0,0.0,2870
6262,Master,Single,72217.0,59,0,0,93,816,42,450,55,56,154,1,3,10,8,2,0,0,0.0,3138
9396,PhD,Married,37717.0,43,1,0,31,9,0,6,4,1,5,1,1,0,2,9,0,0,0.0,3276
7313,2n Cycle,Widow,74859.0,72,0,0,63,570,73,614,133,102,73,1,6,5,11,3,0,0,0.0,3084
1065,Graduation,Single,80695.0,58,0,0,85,557,129,984,193,37,18,1,5,8,5,2,0,0,0.0,2875
7214,Graduation,Married,62187.0,64,0,0,49,792,0,275,45,45,126,1,4,8,5,3,0,0,0.0,3052
1833,PhD,Single,39190.0,47,1,0,91,68,8,18,19,8,12,2,2,1,4,5,0,0,0.0,2757
1404,Graduation,Together,34916.0,53,2,0,89,51,23,82,33,0,42,4,5,1,3,9,0,0,0.0,3103
10909,Graduation,Married,92344.0,73,0,0,9,992,24,694,51,19,119,0,5,10,5,1,0,0,0.0,2858
6274,Master,Married,83790.0,73,0,0,81,1076,16,417,42,48,16,1,8,10,6,3,0,0,0.0,2919
3308,Graduation,Married,35704.0,69,1,1,54,30,9,12,2,11,30,3,2,0,4,4,0,0,0.0,2870
7617,Graduation,Single,42373.0,47,1,1,83,67,5,61,3,8,19,5,2,1,5,5,0,0,0.0,3011
4743,PhD,Married,56242.0,52,0,1,72,689,8,167,11,8,88,5,8,4,11,6,0,0,0.0,3176
11171,Master,Married,56962.0,56,2,1,60,292,3,77,10,3,26,7,6,3,5,7,0,0,0.0,2954
7119,Graduation,Single,68627.0,39,0,0,45,395,15,263,60,54,38,1,2,3,6,1,0,0,0.0,3226
1584,Graduation,Married,41443.0,44,1,0,79,171,7,171,25,19,89,6,8,1,5,8,0,0,0.0,2782
8148,Master,Together,50898.0,65,1,1,88,285,28,242,55,114,135,13,6,2,12,5,0,0,0.0,3230
5544,Graduation,Single,67384.0,51,0,1,32,957,40,175,158,53,107,2,7,8,5,5,0,0,0.0,3289
7861,Master,Married,77027.0,69,0,1,23,820,57,242,45,0,11,2,8,3,6,4,0,0,0.0,2837
2797,Graduation,Married,72117.0,44,0,1,34,707,20,171,65,60,50,1,9,7,9,5,0,0,0.0,3006
5623,Master,Married,31535.0,41,1,0,95,15,4,13,0,0,19,1,1,1,2,7,0,0,0.0,2969
8783,Graduation,Married,57045.0,71,0,1,40,296,13,104,11,13,17,3,4,2,9,3,0,0,0.0,3352
498,Graduation,Single,30015.0,51,1,0,28,25,0,22,2,3,5,2,1,0,4,5,0,0,0.0,2840
2156,PhD,Married,22554.0,66,1,1,38,27,0,10,0,0,4,4,2,0,4,5,0,0,0.0,3296
4138,Graduation,Single,76624.0,59,0,1,68,411,106,147,54,115,66,1,5,10,7,1,0,0,0.0,2729
2730,Graduation,Single,80317.0,66,0,0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0.0,3006
9739,Graduation,Single,34377.0,58,0,1,55,62,0,22,3,1,26,2,2,2,2,7,0,0,0.0,3219
10660,Master,Married,66726.0,64,1,1,61,349,7,35,0,0,47,3,8,2,4,7,0,0,0.0,2861
7679,PhD,Single,30298.0,36,0,0,48,6,3,12,6,1,0,1,1,1,3,3,0,0,0.0,2734
10735,Graduation,Single,22804.0,50,1,0,75,14,1,7,2,1,1,1,2,0,2,9,0,0,0.0,3026
7419,Master,Divorced,27071.0,53,1,0,90,8,3,19,0,2,3,2,2,0,3,6,0,0,0.0,2760
7628,2n Cycle,Married,43050.0,48,1,0,10,30,5,24,6,3,8,2,2,0,4,5,0,0,0.0,2796
5527,Graduation,Together,22434.0,34,1,0,25,4,12,11,3,13,15,2,2,0,3,8,0,0,0.0,3194
7807,Graduation,Married,44989.0,47,0,1,26,98,0,106,49,10,106,5,5,1,5,6,0,0,0.0,3348
2607,Graduation,Single,40464.0,68,0,1,78,424,17,118,7,23,41,6,8,2,8,8,0,0,0.0,3227
3426,Graduation,Divorced,70300.0,46,1,0,89,1045,61,338,60,46,46,3,5,5,13,8,0,0,0.0,3042
8687,Graduation,Together,53172.0,43,0,1,54,121,62,90,68,20,125,3,2,3,8,3,0,0,0.0,3112
10854,PhD,Married,38853.0,51,1,1,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0.0,2730
11086,Basic,Single,25707.0,37,1,0,18,1,6,2,3,6,3,1,1,0,3,7,0,0,0.0,2855
246,Graduation,Married,66480.0,56,1,1,71,199,9,57,20,21,6,7,4,1,7,4,0,0,0.0,2722
3376,Master,Divorced,55282.0,51,1,0,9,125,6,73,8,4,19,1,3,1,6,4,0,0,0.0,2891
9360,Graduation,Married,37040.0,39,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0.0,3383
9264,Graduation,Married,79529.0,35,0,0,1,423,42,706,73,197,197,1,4,8,9,2,0,0,0.0,2756
1340,Graduation,Married,92910.0,35,0,0,42,551,137,792,179,103,33,1,6,7,13,1,0,0,0.0,2759
8397,Graduation,Married,44689.0,70,1,1,82,18,0,5,0,0,11,2,1,1,2,7,0,0,0.0,2863
1503,PhD,Together,162397.0,45,1,1,31,85,1,16,2,1,2,0,0,0,1,1,0,0,0.0,3084
7224,Graduation,Married,31353.0,44,1,1,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0.0,2875
304,Master,Single,22944.0,40,1,0,67,19,3,19,4,5,26,3,3,0,3,7,0,0,0.0,2881
466,Graduation,Married,65275.0,77,0,0,9,388,14,218,91,14,21,1,4,3,13,2,0,0,0.0,3145
1729,PhD,Together,66426.0,60,0,1,14,1043,24,97,32,24,157,2,3,5,10,6,0,0,0.0,2963
73,PhD,Single,51411.0,68,1,2,81,14,0,3,0,0,1,1,0,0,3,5,0,0,0.0,3092
7369,Master,Married,36959.0,40,1,0,56,25,6,25,6,0,0,2,2,0,3,8,0,0,0.0,2963
9135,Graduation,Together,27203.0,71,1,1,92,13,2,21,4,0,24,2,1,1,2,8,0,0,0.0,3385
4686,PhD,Widow,82571.0,59,0,0,28,861,31,558,62,95,79,0,6,5,13,2,0,0,0.0,2781
7143,2n Cycle,Together,74805.0,66,0,1,14,209,162,209,41,162,37,5,4,7,10,2,0,0,0.0,2928
5985,Master,Single,33168.0,56,0,1,0,80,1,37,0,1,3,3,2,1,4,7,0,0,0.0,3317
2227,2n Cycle,Together,26490.0,63,0,0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0.0,3338
4099,Graduation,Married,30675.0,49,1,0,14,10,2,16,11,2,21,1,1,0,3,8,0,0,0.0,3287
10562,Master,Married,66835.0,75,0,0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0.0,2967
4444,Graduation,Married,30023.0,49,1,0,28,11,0,16,7,6,21,1,2,0,3,8,0,0,0.0,2790
1994,Graduation,Married,,38,1,0,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0.0,2919
3276,2n Cycle,Together,36301.0,45,1,0,53,11,12,35,3,5,12,1,3,0,3,7,0,0,0.0,2940
7235,2n Cycle,Married,17003.0,46,1,0,37,2,5,12,4,8,7,3,2,0,4,5,0,0,0.0,2895
2612,Graduation,Married,75794.0,34,0,0,33,754,160,625,63,32,48,1,7,5,12,3,0,0,0.0,2880
4789,Graduation,Together,80812.0,68,0,0,95,769,22,500,210,143,33,1,4,8,5,2,0,0,0.0,2978
8315,Graduation,Single,34824.0,26,0,0,65,4,2,11,2,0,4,1,1,0,2,6,0,0,0.0,2788
1079,PhD,Married,71969.0,50,0,1,59,1000,0,76,0,0,10,3,3,4,9,8,0,0,0.0,3314
7437,Graduation,Single,27938.0,33,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0.0,2755
164,PhD,Married,28973.0,44,0,0,59,206,0,46,3,2,12,2,5,1,5,8,0,0,0.0,3317
5049,PhD,Together,30351.0,47,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0.0,3081
4356,Graduation,Together,71819.0,50,0,1,70,1224,28,140,0,14,168,3,3,3,5,6,0,0,0.0,2998
4297,Graduation,Together,23228.0,52,1,0,71,13,2,18,6,1,0,2,2,0,3,8,0,0,0.0,2847
10560,PhD,Single,36802.0,41,1,0,23,16,1,2,0,0,1,1,1,0,3,5,0,0,0.0,2706
6515,Graduation,Together,39771.0,44,1,0,92,6,2,18,2,8,14,1,2,0,3,4,0,0,0.0,2898
6466,PhD,Married,57236.0,56,1,1,22,105,0,9,2,1,4,3,2,1,4,3,0,0,0.0,2802
9739,Graduation,Single,34377.0,58,0,1,55,62,0,22,3,1,26,2,2,2,2,7,0,0,0.0,3219
7476,Master,Single,63972.0,57,0,1,93,928,63,254,0,12,12,4,5,4,10,4,0,0,0.0,3267
10634,Master,Married,59412.0,70,0,0,56,90,67,165,30,43,11,1,4,2,8,3,0,0,0.0,2764
